Price,Close,High,Low,Open,Volume
Ticker,BOL.ST,BOL.ST,BOL.ST,BOL.ST,BOL.ST
Date,,,,,
2015-12-09,100.61180114746094,101.77454586405511,97.12355656114418,99.85943139385246,2629424
2015-12-10,98.69667053222656,102.59528944378386,98.4914778660325,100.47498262066597,2217068
2015-12-11,96.30281066894531,100.13302974833898,94.52448758586324,98.83349318214995,3736941
2015-12-14,95.82401275634766,98.83347066424413,95.00324202098184,96.64477305518001,2352353
2015-12-15,94.93485260009766,97.32874292282654,93.84049856366532,96.37118053181486,2581237
2015-12-16,95.07162475585938,97.05512929917481,94.66123946719273,95.07162475585938,2677612
2015-12-17,93.4985122680664,97.32874087859847,92.95133526134278,96.57637118978681,2911818
2015-12-18,94.45606994628906,94.93484588968614,92.06217979277085,92.74614840806176,3582168
2015-12-21,93.97730255126953,96.43959423835207,93.01975047103461,93.77212027445843,3106876
2015-12-22,94.04568481445312,94.9348461036418,93.15652352526446,94.38766912286933,1642654
2015-12-23,101.2957534790039,101.56933674343043,95.07163506624127,95.07163506624127,3049118
2015-12-28,98.21790313720703,101.22736104779847,98.01271045318184,101.22736104779847,1249648
2015-12-29,98.62828063964844,99.92782738132743,97.8759213606557,98.35469734483902,1968111
2015-12-30,97.73912048339844,99.44904218840215,97.32874553611786,98.76507350640067,1558544
2016-01-04,95.55042266845703,97.32874541404398,93.77211035940392,95.89240700902884,1812963
2016-01-05,96.7131576538086,98.21789695086034,95.82400680659248,96.43957438336253,821814
2016-01-07,89.25791931152344,93.22494003489805,88.98433599399466,93.22494003489805,4112221
2016-01-08,86.52203369140625,90.83103824713866,86.52203369140625,89.59989259742466,2603596
2016-01-11,85.2908935546875,87.47959649362187,83.44418017901606,84.81211755899993,3842960
2016-01-12,82.34982299804688,84.94890062644494,82.14463032447519,84.81210898957478,4015899
2016-01-13,80.70830535888672,84.60692480162786,80.29792518885087,82.76021142733299,3694983
2016-01-14,84.26493835449219,84.94890702690938,79.27197017680675,80.02433467281229,3673880
2016-01-15,78.24601745605469,84.19654284067008,78.10922059010785,84.12814701683008,4200297
2016-01-18,78.99836730957031,80.36630440583993,78.2460029502752,78.2460029502752,2427821
2016-01-19,79.88754272460938,83.58096936713147,79.54555838968942,81.73425604587042,4111641
2016-01-20,75.37335205078125,78.31441968068144,75.23656039192103,78.24602385125134,3052777
2016-01-21,78.10921478271484,78.24601163849088,74.55258002480154,75.71532459843222,4952095
2016-01-22,78.58800506591797,82.00784858298779,77.83564053581603,81.6658642312808,3084722
2016-01-25,78.10921478271484,79.88753737993797,77.28845452112454,79.47715203087634,2816304
2016-01-26,81.32386779785156,81.52905524743223,75.85211898343957,76.60448340176795,3533098
2016-01-27,79.88754272460938,82.76020905063031,78.51960538492953,81.32387588761983,3895344
2016-01-28,80.91350555419922,83.85456806066593,79.34037533524513,79.68235971169015,3231674
2016-01-29,81.05029296875,83.51257930642566,78.17762644450623,83.10219911985759,2934036
2016-02-01,81.18708038330078,82.3498302724752,79.68235137174204,81.66586159117269,2415276
2016-02-02,79.34036254882812,82.07623711947737,78.92998240688406,81.39226847681506,3197952
2016-02-03,81.11868286132812,81.59746405918101,78.38280819336921,78.79318834990968,3243554
2016-02-04,88.43714904785156,89.12111770183877,83.23898310293549,83.37577996469295,5243072
2016-02-05,87.13760375976562,88.84752010186241,85.42768219940235,87.20599957852686,3958274
2016-02-08,84.47012329101562,88.50553391330125,83.78615468137177,87.95836737481235,3434261
2016-02-09,81.66585540771484,84.40172992577385,80.0927254725243,84.05974561101648,3402982
2016-02-10,83.78616333007812,84.26493931894323,78.9299867439882,80.36631992885044,5192275
2016-02-11,70.38037109375,77.97242162984477,68.73884538420526,75.03135451614934,6664771
2016-02-12,76.46769714355469,76.67288460755778,68.39686498769947,71.06434376587309,6422284
2016-02-15,81.93944549560547,81.93944549560547,77.90402945938985,79.88753956718396,4171293
2016-02-16,79.95594787597656,83.92296349289869,79.34037495765163,83.4441874554612,3518841
2016-02-17,85.085693359375,85.35928183812702,79.68234047252078,80.43470487538919,3519567
2016-02-18,83.99134826660156,86.18004575399974,83.10218697707118,85.76966562739588,3132033
2016-02-19,85.35929870605469,85.35929870605469,83.30739253733478,83.6493768987881,2728128
2016-02-22,88.84751892089844,89.46309693636671,86.52202980432804,86.7272224761508,2769396
2016-02-23,85.63287353515625,88.71073248324797,85.42768606957682,87.4795920349713,2777440
2016-02-24,83.44417572021484,85.49608168054799,82.21303005670826,85.0857015321347,3566332
2016-02-25,82.21302795410156,85.42768367403504,81.59746035635818,83.64936626421363,3158270
2016-02-26,85.83807373046875,86.18005808796066,82.89700616873148,83.10219887053348,3052753
2016-02-29,88.50554656982422,89.39470797682016,84.05975518964584,84.6753280700071,2697729
2016-03-01,90.6258544921875,91.44661486065894,87.68478693834172,88.91593270931604,2611741
2016-03-02,92.6093521118164,93.5669144948665,90.69424821878319,93.3617218101748,3510226
2016-03-03,93.088134765625,94.93484798027086,92.40416613527222,93.49850968191681,3169250
2016-03-04,96.98676300048828,97.60233065113464,94.0456955258283,94.0456955258283,3221545
2016-03-07,94.93485260009766,96.78156590461037,92.60935288181233,96.78156590461037,4319394
2016-03-08,89.18951416015625,92.47256600211718,88.64234755027452,92.33577434964675,4383561
2016-03-09,91.03623962402344,91.17303127893959,88.64234913512085,89.18951575478545,3138469
2016-03-10,88.09516143798828,90.01027568509232,86.5220315051338,89.59989033337966,6182973
2016-03-11,93.63529968261719,93.77210175552095,89.73668064511577,90.21545659068035,4587879
2016-03-14,95.34522247314453,96.43957645146227,93.77210297954566,94.18247789401507,3439710
2016-03-15,93.088134765625,94.38767098868203,92.88294208921255,94.11408771115414,2702684
2016-03-16,93.22493743896484,94.5244738158416,91.78859897059851,93.01974473826476,2237452
2016-03-17,93.77210998535156,96.02919827489504,92.54096427689726,94.72966196051948,4420674
2016-03-18,95.41362762451172,96.1659973216123,93.15652896974346,93.90889866684404,3291822
2016-03-21,90.6258544921875,92.74616167756183,90.07867743436177,92.67776063163325,4253432
2016-03-22,90.35227966308594,90.69426405176297,88.30037333102375,90.07868589022313,3243515
2016-03-23,89.32632446289062,91.58341302753175,88.50555359952834,90.8994442657532,2317620
2016-03-24,86.45362854003906,88.30034681530442,86.45362854003906,88.16354475168568,1532914
2016-03-29,85.974853515625,87.06920748311558,85.22248907667507,86.18004618909609,2381903
2016-03-30,88.84751892089844,90.14706555142068,86.65882144003228,86.7272224761508,2493640
2016-03-31,88.84751892089844,89.87347184347941,86.86401411185504,87.61638376302754,2370665
2016-04-01,88.57394409179688,89.87348040964986,86.79562656681186,87.88997541155133,2110555
2016-04-04,87.47959899902344,89.8050936552512,87.27440629884238,89.18951555470802,1609051
2016-04-05,85.2908935546875,86.79562780362994,84.19654469435379,86.65883093467136,2305363
2016-04-06,85.70126342773438,86.385231993899,83.9229409810935,85.29087811342276,2121803
2016-04-07,83.37577819824219,86.31684021711597,83.10218969879038,85.97485589736785,2040577
2016-04-08,86.45362854003906,86.45362854003906,83.78615006572204,84.12813435170457,2293657
2016-04-11,87.95836639404297,88.50553292643075,85.83805955317617,86.31683548728178,2113992
2016-04-12,88.57394409179688,89.12112112330007,87.06921508256346,87.88997541155133,2496926
2016-04-13,92.8829574584961,92.8829574584961,89.59990540225166,89.59990540225166,3687077
2016-04-14,92.13058471679688,93.36173050304502,91.03624102410309,93.29332945626784,2941811
2016-04-15,90.83104705810547,91.4466147244083,89.53150024313882,90.96783871322451,3445088
2016-04-18,90.48904418945312,90.89941907085421,88.30034684571746,89.32629970401844,2898822
2016-04-19,94.45606994628906,94.7296532177923,90.96782583369225,90.96782583369225,2758797
2016-04-20,95.61881256103516,95.61881256103517,93.43011512390727,94.18247432351203,2420088
2016-04-21,94.86644744873047,96.8499627492553,93.7721038962476,95.61881712074559,2360799
2016-04-22,96.2343978881836,96.5079916411505,93.43013236688107,94.25089275271267,2314930
2016-04-25,94.66127014160156,96.16600972996,94.11410349478192,95.89241597001538,2078072
2016-04-26,93.97730255126953,95.55043277154255,93.29333379780604,94.66127130473302,1990706
2016-04-27,95.20842742919922,96.16598973510665,93.56690695697597,93.56690695697597,2132467
2016-04-28,97.87593078613281,98.21791515584462,94.66126936161406,94.93486311930434,2076037
2016-04-29,95.75560760498047,97.26033649432357,94.79805570354387,97.05514381929201,2545280
2016-05-02,95.20842742919922,96.43957300163298,93.01972998739068,95.75560439878451,1488995
2016-05-03,95.89241027832031,99.85943085150902,93.7037125113475,99.58584754433774,3869366
2016-05-04,95.9974594116211,96.48759745418543,94.52703459972001,94.87713472786713,1447416
2016-05-06,95.85739135742188,97.11775369978524,94.31695324306926,95.99743992762235,2823860
2016-05-09,91.79624938964844,96.3475506349099,91.4461492938591,96.27752634206921,2586988
2016-05-10,92.9865951538086,93.89685761385843,90.88599440794337,92.9865951538086,3044052
2016-05-11,95.15718841552734,95.64733702825194,92.84653665476527,93.61675034695078,2438129
2016-05-12,92.0763168334961,95.29724169603085,91.86625465825146,94.94714163202515,2212993
2016-05-13,93.75679779052734,94.17692216307874,90.67592133917246,91.79624587650513,2158703
2016-05-16,97.04774475097656,98.02802068413537,92.91655746876418,93.1266196499286,1968331
2016-05-17,98.1680679321289,98.93829244173102,96.5576053020019,97.81796782489292,2191299
2016-05-18,97.46785736083984,98.09804389742618,95.78738129835543,97.32781946966719,2091004
2016-05-19,97.6078872680664,97.88797371170799,95.29723554220422,96.48757354611618,2927282
2016-05-20,99.56846618652344,100.68879077889395,98.09805217877017,98.30810369115841,3268235
2016-05-23,99.70850372314453,100.12862811479152,98.44815191661773,99.28839001570464,2251959
2016-05-24,101.31896209716797,101.8791243679914,98.58818571768798,99.21836159473516,2356752
2016-05-25,101.8791275024414,102.99945207855654,100.75880292632627,101.5290274079313,2548862
2016-05-26,103.13948822021484,104.18978848582964,102.50930165032187,102.57932594171226,2766656
2016-05-27,102.92943572998047,103.90971179658287,102.64935990643916,102.92943572998047,2326442
2016-05-30,103.2094955444336,103.90969567888486,102.64934398423752,103.62961989878681,968031
2016-05-31,103.34955596923828,104.18979409008425,102.57933145934184,103.55960748629424,2507570
2016-06-01,101.24895477294922,103.27953111093898,100.4787302672525,103.27953111093898,2118169
2016-06-02,104.46986389160156,104.74995037190698,101.52902529573876,101.52902529573876,3222917
2016-06-03,105.73020935058594,106.99057159889088,104.469847102281,104.60988497782486,2923752
2016-06-07,107.8308334350586,109.09119596269946,107.13063321794782,107.13063321794782,2935746
2016-06-08,108.7410888671875,109.16120255993589,107.20065062536328,107.48072642052888,1939871
2016-06-09,109.5813217163086,111.19178417230324,108.25094572634261,109.09118375601618,3329710
2016-06-10,106.22035217285156,109.37125259733158,106.01029000771179,109.37125259733158,2417951
2016-06-13,105.38011932373047,106.15034373864945,104.18978124229699,105.10004354605414,1816157
2016-06-14,102.2292251586914,104.67992576181072,102.08918726106879,103.69964979424569,2658294
2016-06-15,106.01031494140625,106.43043937049934,102.92943807541712,103.3495625045102,2496577
2016-06-16,103.27953338623047,104.96000965578104,101.87913293353583,104.32983372575147,2609852
2016-06-17,107.06060791015625,107.8308324153776,103.69965544717267,104.11976916294196,2572331
2016-06-20,108.1809310913086,109.51130719997839,107.41070659626367,108.53103119192772,2447360
2016-06-21,108.04090118408203,108.18093909785254,106.71051429274223,107.90086327031152,2109976
2016-06-22,108.04090118408203,108.81111505192384,107.0606144192725,108.1109147988633,1398147
2016-06-23,111.1917953491211,111.1917953491211,107.69079430339441,108.25095660755214,2070519
2016-06-27,103.34955596923828,107.55075725767549,102.92943156671161,102.99945586186851,3529343
2016-06-28,106.4304428100586,108.4610193531461,104.81998002543314,106.43044281005861,2571567
2016-06-29,110.84169006347656,110.84169006347656,107.06060270030669,107.76080287672258,2666974
2016-06-30,113.99259185791016,114.41270555692314,109.37126637931921,111.05175322799178,2664110
2016-07-01,116.16320037841797,117.07346270843422,114.06259993262952,114.06259993262952,2424699
2016-07-04,117.00344848632812,120.22436274234036,116.09318616111798,118.33382448795396,2093692
2016-07-05,115.32295989990234,116.72336016750094,113.57245956540412,116.16319792362027,1907264
2016-07-06,117.00344848632812,117.98372441550438,113.78252354610957,114.13262361855914,2473052
2016-07-07,118.61390686035156,120.22436941991005,117.9137066765615,117.98373096862328,2569150
2016-07-08,118.82398223876953,119.03404445405948,116.79340575411881,118.75396862314494,1705227
2016-07-11,121.974853515625,122.25493996208965,119.73421536493514,119.73421536493514,2230310
2016-07-12,126.17605590820312,126.17605590820311,121.83481742418256,121.83481742418256,2729903
2016-07-13,125.3358154296875,128.41669153528255,124.42555318078722,126.03601551588686,2315089
2016-07-14,126.31613159179688,127.92659444089254,125.4758933570279,125.68595558677235,1612869
2016-07-15,124.91571044921875,125.89599713223213,123.44529645100928,124.63563464504753,2728360
2016-07-18,124.42556762695312,126.52616812943698,124.00545393698033,124.70565410447496,2114520
2016-07-19,128.2766876220703,130.58735065522424,126.24611110808524,127.64651165130482,3386601
2016-07-20,130.93740844726562,132.75793283839616,128.90683258994716,129.1168840561351,3446167
2016-07-21,130.2372283935547,131.63762869886173,128.90685237719558,130.44729057619205,1871530
2016-07-22,128.13662719726562,129.32696531307656,127.01630268579278,129.25695170873848,1950853
2016-07-25,129.25694274902344,130.93741871554064,128.13661831520824,128.20664259889878,1469436
2016-07-26,129.8170928955078,130.58731727105683,128.20664122987796,129.60704141509035,1740375
2016-07-27,128.5567626953125,131.4976014373972,128.5567626953125,130.447301123495,1669549
