Price,Close,High,Low,Open,Volume
Ticker,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST
Date,,,,,
2016-02-24,133.5806427001953,140.38998230210868,133.41251355034984,139.969653013779,3024086
2016-02-25,137.78396606445312,137.78396606445312,134.1691436470822,137.53177869761123,2236287
2016-02-26,137.61582946777344,140.1378056198796,137.27957111179956,140.05374744460318,1633882
2016-02-29,138.792724609375,138.792724609375,135.093819482844,137.0273366140499,1870622
2016-03-01,141.2306671142578,141.31473811851382,137.53177382081049,139.0449492779444,1816170
2016-03-02,137.53176879882812,142.5757210115856,137.19549762151735,141.81912048321172,2202963
2016-03-03,137.27957153320312,140.13780605005704,136.94330034876296,138.372430434624,1915130
2016-03-04,138.28834533691406,139.63340428271428,136.94328639111382,137.27955754128027,1842350
2016-03-07,136.4389190673828,138.4564949567697,135.8504605019312,137.78396538449584,1484174
2016-03-08,136.1026611328125,137.11146200326365,135.34607330741002,136.27080316284497,1910400
2016-03-09,134.8416748046875,136.69113454206317,134.42134537845413,135.68233365715423,2381089
2016-03-10,133.16033935546875,137.95210443795114,133.16033935546875,135.59825739921905,2154045
2016-03-11,136.1026611328125,137.19552019084398,134.9257438872007,135.1779441048135,1675820
2016-03-14,138.62460327148438,139.38120373666573,136.01856920901363,136.6070276858662,2836680
2016-03-15,137.1954803466797,138.45646824109298,137.02735119291103,138.28833908732432,2500989
2016-03-16,136.1026611328125,138.45650845147202,135.85047374263561,137.95212084368237,1785054
2016-03-17,134.00096130371094,138.28832483378545,132.40371526639032,137.86799557897152,2313423
2016-03-18,134.50540161132812,135.00980199834447,133.32848447820288,133.66474285125733,2638378
2016-03-21,133.74880981445312,134.75759773055125,132.8240800753598,133.41253862413086,1636076
2016-03-22,134.67352294921875,134.67352294921875,130.80650057472002,133.32847670795422,2735169
2016-03-23,134.3372802734375,135.85046869545968,133.2444212560084,135.4301392908666,2135123
2016-03-24,131.31088256835938,133.49660025597805,131.31088256835938,132.65594158034526,1029129
2016-03-29,131.05868530273438,131.14275630313293,128.62078022038037,130.3020976088821,2639369
2016-03-30,135.1779022216797,136.35481910263894,131.9833970523778,132.48779733132145,2585170
2016-03-31,134.67352294921875,135.34605248356797,133.66473506141185,134.42132277040852,2309674
2016-04-01,133.49659729003906,133.91692661851687,130.8064921532677,132.57186763641462,1926518
2016-04-04,132.8240966796875,134.75761457658786,132.65596747722572,132.8240966796875,2048340
2016-04-05,131.9834442138672,132.3197026350298,130.3861974721899,131.4790437546867,1837254
2016-04-06,134.3372802734375,134.3372802734375,130.8905740248,131.815303845879,1894182
2016-04-07,131.73123168945312,134.8416666909302,131.6471735057261,134.8416666909302,1556759
2016-04-08,135.85047912597656,136.2708085628423,132.15157238509633,132.15157238509633,1570705
2016-04-11,134.8416748046875,136.01860489460256,133.58068652598743,135.4301462633631,1167589
2016-04-12,134.75759887695312,135.00979906498173,132.82408120531295,134.67352787179877,1554021
2016-04-13,136.94326782226562,137.19546794383515,134.5894342274329,136.1866802849881,2242076
2016-04-14,137.95208740234375,138.96087520081602,137.5317580840276,137.69988724586747,2230337
2016-04-15,137.95208740234375,138.37241672065994,136.85922860923512,137.8680164077074,2310153
2016-04-18,138.792724609375,139.54931213455387,136.270749088871,136.60700736063254,3539377
2016-04-19,140.7262725830078,141.39880216265956,139.2130970630849,139.88561381530184,2475016
2016-04-20,141.65097045898438,141.65097045898438,139.12899472380957,139.71745316319732,1873714
2016-04-21,140.64218139648438,142.07129840070928,139.2971225528422,141.73504010351465,1756524
2016-04-22,138.37245178222656,140.64222811077568,138.2043097503491,140.1378276700154,2411291
2016-04-25,138.87681579589844,139.96967468020966,137.7839569115872,137.86802791323956,2522468
2016-04-26,139.8015594482422,140.7262764214806,138.96090065760626,138.96090065760626,2134592
2016-04-27,144.84548950195312,150.81415828401276,139.96966671457733,140.72625437665585,5739236
2016-04-28,146.7665252685547,147.27880458257223,142.4975744110888,146.3396301828081,3072201
2016-04-29,143.7782440185547,146.6811381023438,143.09522237794806,145.48582417567673,3088774
2016-05-02,141.7291717529297,144.46129775947347,140.6192418987013,144.46129775947347,3888427
2016-05-03,141.1315155029297,141.55841058126416,138.82628468548444,140.87537585036824,3182563
2016-05-04,138.57015991210938,141.5584257813202,138.39940446800125,140.5338800888661,5090759
2016-05-06,137.97251892089844,138.39941407470343,136.8625889154442,137.7163792230542,2116331
2016-05-09,140.9607391357422,141.89990035187193,137.71633441683497,139.4239144764912,2321944
2016-05-10,140.7899932861328,142.58295784743171,139.68007649159964,142.58295784743171,2091499
2016-05-11,140.70460510253906,141.3876397590558,139.68005963166524,141.30225554156524,1392581
2016-05-12,138.99703979492188,141.9853053364622,138.74090014294336,140.36309622580086,1606651
2016-05-13,140.27769470214844,141.30224006077512,137.88708018015214,138.48473055370096,1494354
2016-05-16,142.07064819335938,142.3267877942402,138.8262566748731,139.08238324795266,959778
2016-05-17,140.7899932861328,143.6075034419722,140.53386665835072,142.83909750301785,1489275
2016-05-18,142.4122314453125,142.4122314453125,139.76547617781554,140.27775559339776,1680412
2016-05-19,141.1315155029297,142.75371158947905,140.36309654524536,142.07067685858314,1510020
2016-05-20,143.60752868652344,144.2905635455548,142.15608775346078,142.58298291187958,1766525
2016-05-23,143.2659912109375,144.3759210226186,141.81455054695633,143.60750206323758,1438912
2016-05-24,146.16888427734375,146.51040818487465,141.72917770188192,142.41221248913874,1835105
2016-05-25,145.48580932617188,147.5349131222512,145.14429854072603,147.36415772952827,1967617
2016-05-26,145.74195861816406,147.1080279063673,145.40044781001436,145.40044781001436,1539810
2016-05-27,145.82737731933594,146.5957833332864,145.05895827758016,145.40048219429562,1315826
2016-05-30,146.8518829345703,146.8518829345703,145.05891868762055,146.59574332389153,880882
2016-05-31,148.04721069335938,148.81562966525541,145.99811949057818,147.19342052089985,2652074
2016-06-01,146.7665252685547,147.87645509705663,145.48584001131493,147.70569966831883,1527513
2016-06-02,145.57122802734375,147.70570351161564,144.717437833635,147.1080529815804,1359367
2016-06-03,144.03439331054688,147.10804301069015,143.0098477531003,145.99811322853822,1437586
2016-06-07,146.68113708496094,147.02264790289553,145.40045197600227,145.57120738496957,1631966
2016-06-08,145.9981231689453,146.76652913239693,145.4004726387269,145.74198350519328,1181745
2016-06-09,144.97357177734375,146.68115209738832,144.11978161732148,146.51039667094466,1572407
2016-06-10,141.2168731689453,144.71741768694832,140.70460694071735,144.63203346834234,1783736
2016-06-13,139.5946807861328,140.10696005518477,138.22861142052957,139.16778573785717,1801877
2016-06-14,137.71636962890625,138.5701598770361,136.7771951448413,137.80174083703605,2232370
2016-06-15,140.53387451171875,140.96076961895022,138.6555256176565,139.50931583211943,2243013
2016-06-16,137.2894287109375,139.8507986009632,136.2648833604874,138.39935826884215,2354763
2016-06-17,138.3140106201172,139.25318503915332,137.11870956662065,138.74090571462372,3873529
2016-06-20,143.60752868652344,143.69291292932974,141.47305289442943,141.89994805284823,1432506
2016-06-21,144.20516967773438,144.63206480765996,142.6683576322467,143.8636587849161,1819012
2016-06-22,144.37591552734375,145.8273561360798,143.94902046431528,145.14432142967357,2151325
2016-06-23,146.51039123535156,146.93728629952474,144.03439204646514,144.11977627042114,1947781
2016-06-27,138.2286376953125,142.83911290973975,136.69182565164223,138.8263012987459,4822022
2016-06-28,141.38768005371094,143.2660161235947,140.10699459318025,140.9607849002007,2465870
2016-06-29,144.80282592773438,145.14433680320823,140.79000148799005,142.58296615373985,1862797
2016-06-30,146.93728637695312,147.10804179715169,143.9490209261663,144.6320426069605,2604770
2016-07-01,148.98638916015625,149.6694239223253,147.5349484329248,148.0472147336982,1823249
2016-07-04,146.93728637695312,150.01092302393747,146.93728637695312,149.4132725393408,1154106
2016-07-05,144.71743774414062,147.02266866016782,143.86364755095985,146.2542626974269,1649794
2016-07-06,143.4367218017578,145.5711968285697,141.89989717689292,143.52210601395097,1602023
2016-07-07,145.31507873535156,147.27879865633003,144.1197777544796,144.37591740118177,1358549
2016-07-08,145.91273498535156,146.16887464216424,143.43674870103862,144.4612943004852,1645800
2016-07-11,150.3524627685547,150.5232182067841,147.1934285361887,147.36419700222297,1449214
2016-07-12,151.12086486816406,152.4869343944783,150.09631923733062,150.77935400048776,2099191
2016-07-13,151.37698364257812,152.40152913202277,150.43780934436893,151.20622823230445,1229676
2016-07-14,151.12086486816406,152.06003929598066,150.43783010500692,152.06003929598066,1131438
2016-07-15,151.71852111816406,152.48694014110117,150.09632489386075,150.950115123032,1567404
2016-07-18,151.12086486816406,152.91382949297594,150.77935400048776,151.97465506515934,1471071
2016-07-19,157.95115661621094,158.634191250382,151.54773134798617,153.08455601792053,3396502
2016-07-20,159.57337951660156,159.8295191763,157.69504372515337,158.4634627042487,2366533
2016-07-21,158.97569274902344,160.85402811220692,157.353496987138,160.4271331193106,1859733
2016-07-22,158.20733642578125,159.06112667845377,156.84126681038305,158.20733642578125,1354116
2016-07-25,158.80494689941406,160.2563873569128,158.12191226417875,158.80494689941406,1087221
2016-07-26,159.0610809326172,159.7441155438761,158.03653552962965,159.31722054031448,1756269
2016-07-27,159.9149169921875,160.85407845380269,159.48802186568824,160.25642788226477,1418838
2016-07-28,160.2563934326172,161.19556772014735,159.23184795482229,160.2563934326172,1737069
2016-07-29,160.34182739257812,160.7687225597427,159.0611418910844,160.5979670984382,1529246
2016-08-01,158.4634552001953,161.11019681759785,156.67049069501644,161.0248256202773,1783952
2016-08-02,157.18276977539062,159.06110547532361,156.49973505874127,158.5488261808857,1157344
2016-08-03,156.5851287841797,157.60968752046097,155.5605830757039,157.60968752046097,799913
2016-08-04,158.71958923339844,158.71958923339844,156.41435835321317,157.78042785218443,1392969
2016-08-05,158.80494689941406,159.829492338366,158.12191226417875,159.1464577031307,1460505
2016-08-08,159.31724548339844,160.08565139899213,158.71958196259925,160.0002671737912,948976
2016-08-09,162.30552673339844,162.30552673339844,158.46347072682167,159.06112127783928,1437988
2016-08-10,160.93943786621094,162.4762626901227,160.0002635216528,162.30550727142213,1181253
2016-08-11,161.6224822998047,162.04937738616033,160.08565738336355,161.45172687082325,1185692
2016-08-12,162.2201385498047,162.3055227812159,160.42717391260607,161.87862767976904,959667
2016-08-15,161.4517364501953,162.13475820664655,160.4271777599086,161.8786315618798,1266030
2016-08-16,159.9149169921875,161.36635781672393,159.3172664206496,161.1102181352633,1110839
2016-08-17,157.09738159179688,160.4271578383278,156.8412419510322,160.1710312253664,1485881
2016-08-18,157.8657684326172,158.54880304961608,156.8412230210197,157.7803972478684,1868919
