Date,gold,silver,omx
2015-12-09,102.63999938964844,13.489999771118164,1440.93994140625
2015-12-10,102.55000305175781,13.449999809265137,1433.4100341796875
2015-12-11,103.11000061035156,13.300000190734863,1401.1400146484375
2015-12-14,101.79000091552734,13.0600004196167,1389.260009765625
2015-12-15,101.5199966430664,13.109999656677246,1426.469970703125
2015-12-16,102.75,13.489999771118164,1428.02001953125
2015-12-17,100.5,13.079999923706055,1438.3199462890625
2015-12-18,102.04000091552734,13.430000305175781,1422.6300048828125
2015-12-21,103.1500015258789,13.59000015258789,1419.1300048828125
2015-12-22,102.61000061035156,13.59000015258789,1413.739990234375
2015-12-23,102.30999755859375,13.619999885559082,1446.68994140625
2015-12-28,102.2699966430664,13.289999961853027,1434.06005859375
2015-12-29,102.19999694824219,13.270000457763672,1452.949951171875
2015-12-30,101.41999816894531,13.210000038146973,1446.8199462890625
2016-01-04,102.88999938964844,13.1899995803833,1394.3900146484375
2016-01-05,103.18000030517578,13.3100004196167,1387.030029296875
2016-01-07,106.1500015258789,13.619999885559082,1357.1199951171875
2016-01-08,105.68000030517578,13.300000190734863,1348.760009765625
2016-01-11,104.73999786376953,13.220000267028809,1348.6400146484375
2016-01-12,104.20999908447266,13.170000076293945,1351.260009765625
2016-01-13,104.72000122070312,13.489999771118164,1360.97998046875
2016-01-14,103.0199966430664,13.1899995803833,1339.469970703125
2016-01-15,104.08000183105469,13.239999771118164,1305.239990234375
2016-01-19,103.9800033569336,13.359999656677246,1332.1700439453125
2016-01-20,105.37000274658203,13.479999542236328,1290.949951171875
2016-01-21,105.48999786376953,13.460000038146973,1312.5999755859375
2016-01-22,105.0,13.380000114440918,1361.3599853515625
2016-01-25,106.08000183105469,13.579999923706055,1354.4100341796875
2016-01-26,107.29000091552734,13.819999694824219,1375.739990234375
2016-01-27,107.69000244140625,13.8100004196167,1365.5899658203125
2016-01-28,106.54000091552734,13.569999694824219,1333.3199462890625
2016-01-29,106.94999694824219,13.59000015258789,1356.3199462890625
2016-02-01,108.05000305175781,13.670000076293945,1342.4300537109375
2016-02-02,108.08999633789062,13.619999885559082,1320.2900390625
2016-02-03,109.25,13.949999809265137,1305.489990234375
2016-02-04,110.56999969482422,14.170000076293945,1333.719970703125
2016-02-05,112.31999969482422,14.34000015258789,1330.1099853515625
2016-02-08,113.83000183105469,14.59000015258789,1273.949951171875
2016-02-09,113.58000183105469,14.510000228881836,1271.449951171875
2016-02-10,114.45999908447266,14.550000190734863,1297.8199462890625
2016-02-11,119.05999755859375,14.949999809265137,1247.06005859375
2016-02-12,118.36000061035156,14.989999771118164,1286.6700439453125
2016-02-16,114.7699966430664,14.510000228881836,1328.1400146484375
2016-02-17,115.4800033569336,14.539999961853027,1374.25
2016-02-18,118.29000091552734,14.760000228881836,1362.97998046875
2016-02-19,117.58000183105469,14.640000343322754,1355.949951171875
2016-02-22,115.48999786376953,14.430000305175781,1385.739990234375
2016-02-23,117.22000122070312,14.539999961853027,1366.530029296875
2016-02-24,117.61000061035156,14.520000457763672,1327.8499755859375
2016-02-25,117.91999816894531,14.40999984741211,1360.969970703125
2016-02-26,117.11000061035156,14.020000457763672,1370.800048828125
2016-02-29,118.63999938964844,14.199999809265137,1372.5400390625
2016-03-01,117.7699966430664,14.170000076293945,1391.449951171875
2016-03-02,118.68000030517578,14.25,1383.7099609375
2016-03-03,120.7300033569336,14.5,1389.449951171875
2016-03-04,120.54000091552734,14.760000228881836,1403.77001953125
2016-03-07,121.13999938964844,14.899999618530273,1397.0400390625
2016-03-08,120.58000183105469,14.619999885559082,1390.5799560546875
2016-03-09,119.58000183105469,14.529999732971191,1398.469970703125
2016-03-10,121.5,14.819999694824219,1385.06005859375
2016-03-11,119.41000366210938,14.720000267028809,1418.3900146484375
2016-03-14,117.87000274658203,14.579999923706055,1424.18994140625
2016-03-15,117.95999908447266,14.539999961853027,1403.949951171875
2016-03-16,120.58999633789062,14.869999885559082,1393.0999755859375
2016-03-17,120.12999725341797,15.15999984741211,1390.8599853515625
2016-03-18,119.80000305175781,15.029999732971191,1391.3800048828125
2016-03-21,118.95999908447266,15.0600004196167,1377.56005859375
2016-03-22,119.30999755859375,15.119999885559082,1382.43994140625
2016-03-23,116.61000061035156,14.510000228881836,1368.2099609375
2016-03-24,116.33000183105469,14.430000305175781,1345.3399658203125
2016-03-29,118.76000213623047,14.600000381469727,1348.699951171875
2016-03-30,117.0999984741211,14.489999771118164,1376.8199462890625
2016-03-31,117.63999938964844,14.680000305175781,1365.699951171875
2016-04-01,116.93000030517578,14.34000015258789,1358.219970703125
2016-04-04,116.1500015258789,14.199999809265137,1361.8599853515625
2016-04-05,117.66000366210938,14.420000076293945,1333.8499755859375
2016-04-06,116.94000244140625,14.34000015258789,1349.02001953125
2016-04-07,118.61000061035156,14.479999542236328,1330.8399658203125
2016-04-08,118.43000030517578,14.619999885559082,1364.93994140625
2016-04-11,120.02999877929688,15.140000343322754,1368.6199951171875
2016-04-12,120.05000305175781,15.40999984741211,1366.5999755859375
2016-04-13,118.7699966430664,15.4399995803833,1392.5899658203125
2016-04-14,117.11000061035156,15.34000015258789,1384.1099853515625
2016-04-15,117.91999816894531,15.460000038146973,1381.3299560546875
2016-04-18,117.73999786376953,15.420000076293945,1381.8900146484375
2016-04-19,119.58000183105469,16.1200008392334,1410.8699951171875
2016-04-20,118.97000122070312,16.139999389648438,1419.6700439453125
2016-04-21,119.41999816894531,16.209999084472656,1409.489990234375
2016-04-22,117.88999938964844,16.139999389648438,1396.3699951171875
